Season,TeamName,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
2019,Denver,50.15087508,19.68658851,26.39029323,26.1919131,56.47653001,15.73927762,22.94736842,28.34224599
2019,Detroit,49.67982924,16.30768701,29.33104631,31.00320171,54.38643703,19.79891014,36.37218045,32.72335845
2019,Drake,53.33148251,19.06995266,24.28023033,32.6485286,48.671875,16.76916951,26.00170503,29.375
2019,Drexel,51.30718954,16.62226711,29.15479582,30.61002179,55.63380282,14.62573782,26.27526468,30.28169014
2019,Duke,53.59801489,17.51473768,35.6017192,33.20926385,44.98964803,19.38106219,29.51251647,23.97515528
2019,Duquesne,49.92080253,19.79698217,31.82199832,35.00527983,49.94745139,21.55281207,35.05598622,31.89700473
2019,East Carolina,46.14740369,18.90087314,28.15789474,35.62255723,50.99828865,19.44872453,31.03448276,41.75698802
2019,East Tennessee St.,54.55486542,20.00044445,36.96043165,29.91718427,52.62423227,20.53378964,23.93320965,30.48576214
2019,Eastern Illinois,49.64959569,18.828893,29.24935289,28.67924528,53.59459459,18.37298761,30.54054054,33.13513514
2019,Eastern Kentucky,47.83950617,18.22206263,27.32510288,32.61316872,53.22669608,21.52347162,31.13207547,39.65802537
2019,Eastern Michigan,48.48874598,20.75563483,34.41624365,33.89067524,50.76045627,20.10702124,34.90759754,32.00253485
2019,Eastern Washington,50.32994924,17.09990739,24.62057336,26.95431472,52.51855779,16.62610643,23.5915493,34.83563097
2019,Elon,52.00814901,18.42203875,22.30695901,24.27240978,53.55753196,15.23081944,28.21256039,29.40522513
2019,Evansville,49.39357186,18.3832773,18.90874882,37.53790176,50.02858776,17.12030405,26.16651418,37.50714694
2019,FIU,48.88485477,17.71152356,25.69105691,37.96680498,53.10160428,23.36234298,34.34065934,35.34759358
2019,Fairfield,50.74074074,20.67232469,26.10744581,23.93162393,52.55384615,21.38352852,28.90946502,40.12307692
2019,Fairleigh Dickinson,54.23775454,19.73593842,29.54110899,35.66318107,51.96382429,20.21944693,33.24584427,29.40568475
2019,Florida,49.75186104,17.85970563,30.66884176,29.92555831,48.09498956,22.40967826,32.23413026,33.61169102
2019,Florida A&M,49.14754098,24.64631517,27.86377709,31.14754098,48.4516129,21.73774382,32.41590214,40.4516129
2019,Florida Atlantic,47.87535411,20.63099618,29.04676259,28.61189802,48.16933638,18.12309985,25.40394973,31.40732265
2019,Florida Gulf Coast,52.5794841,21.28225592,25.68527919,31.91361728,52.08333333,19.20132423,30.88512241,27.38888889
2019,Florida St.,50.48364809,18.9353667,32.84161491,35.83602027,47.24238026,20.32088134,26.9984917,35.65553943
2019,Fordham,46.82495859,16.39066844,25.12908778,24.51684152,49.49132256,19.09827149,27.98076923,36.8641532
2019,Fresno St.,54.4598338,18.15529259,27.41784038,30.19390582,48.54904237,19.49841373,25.36764706,34.99709808
2019,Furman,55.4267948,18.43917,28.74251497,24.8728095,47.92949077,20.07606759,29.9543379,24.17459429
2019,Gardner Webb,54.75512528,17.02785511,22.42063492,38.32574032,50.46343975,18.23772902,31.25,27.60041195
2019,George Mason,50.13477089,18.90188025,29.00626679,34.17789757,50.18479409,18.23943118,27.16262976,30.62302006
2019,George Washington,45.76547231,18.24037897,23.38435374,32.5732899,51.24675325,17.13355986,28.5106383,30.23376623
2019,Georgetown,50.99157164,17.87290268,29.06403941,38.22508676,50.14211274,16.29944172,26.13458529,30.31738513
2019,Georgia,50.02839296,22.44972659,32.72227314,41.22657581,48.50299401,15.48409996,30.99838969,29.94011976
2019,Georgia Southern,54.25361156,18.64029187,27.54318618,34.88496522,51.36842105,19.97481623,28.71024735,31.26315789
2019,Georgia St.,53.74472574,16.3879331,23.01656495,35.44303797,50.30287733,20.95436238,33.79819524,30.94396769
2019,Georgia Tech,49.1831972,20.97458716,25.26518804,34.30571762,45.64393939,18.68977375,31.72995781,34.79437229
2019,Gonzaga,58.97722197,14.9182384,31.53384747,35.32827155,44.17109929,18.96963817,26.77111717,25.88652482
2019,Grambling St.,50,22.12027616,25.76045627,42.96969697,45.14428413,17.9869186,29.41176471,42.3418424
2019,Grand Canyon,51.39607032,17.26990188,29.00172117,33.71251293,49.92059291,19.3093124,25.73913043,29.69825304
2019,Green Bay,51.50110375,17.24491517,26.44265888,33.86313466,52.0995671,18.77617613,31.3583815,32.29437229
2019,Hampton,48.86811024,14.56015322,28.07160293,34.79330709,50.81632653,16.25319429,26.60016625,35.91836735
2019,Hartford,54.15273133,17.7706252,25.32956685,33.11036789,52.58760108,19.31195494,30.99906629,29.91913747
2019,Harvard,53.32125604,22.60156969,28.80324544,31.64251208,50.20636792,17.48874103,23.25358852,33.84433962
2019,Hawaii,52.32131949,17.57917934,26.87950566,31.15455101,50.83591331,17.42675871,24.68879668,32.87925697
2019,High Point,49.08459596,20.37839942,34.12127441,33.83838384,50.27760642,16.26048451,25.54671968,29.05613819
2019,Hofstra,55.91805766,13.84381525,26.82926829,37.73394031,52.07014126,18.26205417,29.90654206,24.9878227
2019,Holy Cross,52.69901854,16.13907269,20.59925094,23.11886587,53.79501385,22.08747377,32.94797688,26.81440443
2019,Houston,52.13345438,16.50032196,34.36555891,31.63867453,42.53071253,18.19059884,25.95473833,37.2972973
2019,Houston Baptist,49.56797235,19.50955155,33.75796178,42.39631336,55.70409982,20.16929484,29.57894737,35.71004159
2019,Howard,48.45599588,16.83072261,29.17015926,33.76222337,51.78571429,19.83932328,33.36306869,37.84648188
2019,IUPUI,50.16330974,19.63956164,34.32165319,35.22046815,52.59301015,19.63956164,27.70853308,33.20180383
2019,Idaho,50.34788109,19.87954128,24.24870466,28.20999367,53.673938,13.35576417,32,33.06544202
2019,Idaho St.,52.02492212,17.6482072,25.78616352,28.78504673,56.11077664,15.04522678,29.76588629,30.58398555
2019,Illinois,49.55022489,18.32460733,29.05629139,29.53523238,52.15493726,21.74463773,31.88539741,42.38952537
2019,Illinois Chicago,53.25594564,19.99276124,24.85436893,27.74631937,48.28651685,17.5568616,30.3539823,41.96629213
2019,Illinois St.,49.07255865,18.40775232,26.01410935,28.64157119,51.28635347,18.13300975,26.07897153,32.77404922
2019,Incarnate Word,51.86846039,24.10316594,23.11688312,34.82810164,59.31677019,19.71078946,32.77634961,39.13043478
2019,Indiana,50.99552016,17.85714286,28.13531353,34.59432554,48.22557122,18.10458595,28.05255023,29.21730676
2019,Indiana St.,48.60335196,18.59142742,23.68951613,35.81626319,51.53220763,19.38255199,27.24425887,38.02376485
2019,Iona,53.00474433,17.32622024,25.19893899,36.84765419,52.30084117,18.5577408,30.75657895,28.50074221
2019,Iowa,52.666999,17.1678154,29.83471074,42.32303091,51.49714829,18.33926633,29.36951317,28.80228137
2019,Iowa St.,54.7630679,16.25931523,28.27406765,30.04396678,48.40247973,18.76074835,30.10085337,23.60515021
2019,Jackson St.,44.63961236,20.30444314,28.50510678,34.28225318,49.09443726,20.84787106,26.78751259,43.91979301
2019,Jacksonville,49.6124031,19.91017536,28.34862385,30.50941307,52.17152281,18.12512515,27.35042735,28.80703683
2019,Jacksonville St.,50.57561486,18.78702619,32.97297297,30.19361591,48.66518354,20.44602373,25.6433008,30.14460512
2019,James Madison,50.26041667,18.75845483,30.12392755,33.3912037,52.90267501,16.35352473,29.34249264,34.03528742
2019,Kansas,52.58458647,18.81601309,30.05595524,32.47180451,47.8191731,18.15375176,27.88184438,27.80554294
2019,Kansas St.,49.3343983,17.43708778,28.53380158,30.56443024,48.2349537,22.82673309,25.69060773,30.72916667
2019,Kennesaw St.,40.93904448,19.01802947,29.16666667,30.14827018,53.74521597,17.08798192,30.79884504,27.72006561
2019,Kent St.,49.6046389,16.4018927,33.24584427,31.78703216,52.74631937,18.95020937,30.5984556,35.90033975
2019,Kentucky,52.95121951,18.60752986,36.78357571,41.90243902,46.64948454,17.92871439,25.46816479,26.80412371
2019,LIU Brooklyn,50.72102052,20.07578721,28.2647585,34.38713256,48.22580645,18.51085948,29.5025729,35.37634409
2019,LSU,51.15633673,17.92222821,36.76355067,37.09528215,49.90407674,20.09821618,30.75722092,33.14148681
2019,La Salle,47.19132369,20.1501979,28.87323944,28.47608454,51.26619552,19.77876568,28.91918208,41.34275618
2019,Lafayette,52.53792299,18.64214942,22.22222222,24.44574096,54.61053837,15.30108887,26.77322677,31.15693013
2019,Lamar,49.35141509,19.96414207,36.24413146,42.33490566,51.97208738,19.77031545,27.60736196,35.55825243
2019,Lehigh,56.30985915,18.49063057,23.52941176,34.92957746,50.17793594,15.62215566,27.43142145,30.45246568
2019,Liberty,55.92178771,17.17048589,25.27918782,26.70391061,48.93063584,20.43661093,26.38376384,32.65895954
2019,Lipscomb,54.76989453,17.75958253,25.96964587,36.28954938,48.34749764,19.56629331,23.78716745,27.85646837
2019,Little Rock,54.38821268,22.6487207,24.25531915,42.53683536,52.28640193,19.44015194,27.40524781,40.31287605
2019,Long Beach St.,47.62407603,18.98458035,28.88888889,40.76029567,51.14541833,18.94201403,32.97431649,30.17928287
2019,Longwood,52.4135876,20.3956044,24.53385672,33.55184744,50.54100228,17.39487179,25.2310536,33.71298405
2019,Louisiana,50.8,17.37014256,29.08296943,35.04,53.23920266,20.04934192,31.99617956,36.82170543
2019,Louisiana Monroe,54.01626843,16.17605568,26.87886826,35.79054398,52.90669272,17.38821489,29.0239726,28.43185149
2019,Louisiana Tech,49.77691021,16.98293451,29.42206655,35.91745678,49.29298643,19.24732578,28.79484821,30.20361991
2019,Louisville,50.88967972,17.43094948,29.19463087,34.92628368,46.76133533,16.07379526,25.91725215,32.03786746
2019,Loyola Chicago,55.06097561,18.77196117,19.89304813,32.01219512,51.06069534,20.53481032,21.73913043,23.86564526
2019,Loyola MD,51.5795207,19.53634189,27.86579683,33.60566449,55.63496427,20.5483596,29.63709677,32.32545355
2019,Loyola Marymount,49.45717732,19.33798968,29.43589744,36.73100121,49.56359102,21.62162162,27.18940937,36.22194514
2019,Maine,48.55855856,22.12026672,25.89027911,25.64564565,55.26641884,19.13500948,27.17948718,38.59975217
2019,Manhattan,47.29477612,24.09892983,30.66169618,33.20895522,50.93395597,23.50266765,30.2617801,45.56370914
2019,Marist,52.30722526,18.92397403,24.32160804,32.1797207,52.96273671,19.3151673,26.76767677,35.91936469
2019,Marquette,53.45352971,19.34922783,29.39632546,35.14474352,46.31188119,16.59093365,26.1302682,35.89108911
2019,Marshall,51.8800169,15.94656317,22.91086351,30.54499366,52.02991453,20.80445659,32.29090909,32.39316239
2019,Maryland,51.41435306,19.31715834,34.11131059,32.84442116,45.93516209,14.05687953,24.8427673,26.63341646
2019,Maryland Eastern Shore,43.53312303,20.69167122,22.78360343,28.26498423,54.43896424,18.96312866,31.62743091,36.62145499
2019,Massachusetts,51.11960677,20.13925113,31.46788991,31.34898962,51.21263395,16.82806795,27.09313264,41.39875917
2019,McNeese St.,49.72105997,21.31686287,29.6803653,38.77266388,54.22222222,17.70939377,31.85349612,29.26984127
2019,Memphis,51.07238606,19.73898037,33.20726172,37.3100983,48.61687414,21.31370422,30.90225564,37.52881512
2019,Mercer,51.01663586,19.32064894,28.78942014,35.67467652,52.69860522,20.07145136,32.31225296,34.68768951
2019,Miami FL,50.72933549,16.89737795,25.97864769,30.79416532,52.01271186,19.75903067,29.70749543,22.66949153
2019,Miami OH,48.59976663,18.6953524,29.96389892,34.65577596,51.12094395,16.69402225,25.3411306,33.92330383
2019,Michigan,51.59372027,13.94176409,24.67948718,27.54519505,44.06657019,17.9666186,24.82967449,24.07139411
2019,Michigan St.,55.1793722,18.50105781,33.89694042,33.58744395,43.94449117,14.93594525,26.36594663,27.50210261
2019,Middle Tennessee,46.66085947,22.8063091,32.28699552,29.61672474,50.78215527,17.45429999,28.06026365,34.2410197
2019,Milwaukee,48.06708357,18.01171003,26.73450509,28.19783968,51.6590389,15.25925032,28.25070159,36.27002288
2019,Minnesota,48.18538499,17.11618787,31.3559322,41.58901422,49.52539155,16.87108733,28.43601896,28.19174181
2019,Mississippi,53.09548793,18.15563217,30.21515435,30.90241343,50.96308186,20.51237289,29.26186292,33.54735152
2019,Mississippi St.,54.5913219,19.22103659,34.68667255,32.64379415,50.30975736,19.51936754,29.61373391,32.11151265
2019,Mississippi Valley St.,41.91096634,18.4853667,28.40189873,33.71335505,54.09309791,17.52449368,31.68949772,31.99571964
2019,Missouri,50.45351474,21.03039549,31.88539741,29.8185941,49.41826643,18.11993897,25.73320719,38.04537522
2019,Missouri St.,51.15783059,18.18876298,25.3507014,36.92870201,53.45477387,21.82651558,25.2972973,34.98743719
2019,Monmouth,45.82463466,20.61781424,29.06882591,40.34446764,51.14422565,21.19396075,28.67830424,43.21447578
2019,Montana,56.03632479,17.39850413,27.55980861,31.35683761,50.02791736,19.253167,25,37.29759911
2019,Montana St.,53.4284147,17.11060948,26.24768946,34.887548,57.06961684,17.24604966,26.60194175,28.27846735
2019,Morehead St.,48.37310195,17.24998865,27.83945346,33.89370933,52.53661088,17.70393572,31.66969147,28.39958159
2019,Morgan St.,43.73259053,17.89085138,31.79880648,34.31754875,53.32298137,23.90256219,35.12396694,39.8757764
2019,Mount St. Mary's,47.91282996,19.02172226,25.07260407,33.94720688,52.10308057,17.78009548,31.46292585,34.83412322
2019,Murray St.,54.81026189,17.22252752,32.03791469,33.51149118,46.51898734,19.3073598,30.65998329,27.42616034
2019,NJIT,50.69892473,17.10306289,21.87226597,38.38709677,48.998999,17.94974917,27.16150082,29.72972973
2019,Navy,46.80851064,20.65632275,31.79039301,30.45912654,52.13243547,16.63850253,25.46816479,29.74186308
2019,Nebraska,49.17755201,14.30619706,28.54926299,33.04305757,48.14997533,19.2583422,32.07249803,29.9950666
2019,Nebraska Omaha,54.38278008,13.46785923,24.76547842,24.06639004,54.97012493,16.81191951,25.64870259,27.05051602
2019,Nevada,53.65182591,14.64157771,27.18932444,40.82041021,47.70665323,19.17547536,24.84126984,27.97379032
2019,New Hampshire,43.95640687,18.42892052,21.56673114,21.86261559,51.48480663,16.86050175,24.74344356,37.98342541
2019,New Mexico,49.48648649,19.36255847,28.95622896,39.2972973,51.63188871,18.18775155,28.18911686,37.07865169
2019,New Mexico St.,54.08110883,17.81756986,36.85612789,34.54825462,48.90449438,18.92839092,21.95121951,32.58426966
2019,New Orleans,47.98798799,21.76175262,32.76190476,36.03603604,50,22.54069679,34.23423423,40.35736291
2019,Niagara,49.15209327,17.30842843,27.13440406,33.33333333,53.44295992,16.1545332,26.21184919,25.28263104
