Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2018-19,2019-03-21,,Saint Mary's (CA),,,Villanova,23,L,,57,61,-4,,
2018-19,2019-03-21,,Villanova,23,,Saint Mary's (CA),,W,,61,57,4,,
2018-19,2019-03-21,,Michigan,8,,Montana,,W,,74,55,19,,
2018-19,2019-03-21,,Montana,,,Michigan,8,L,,55,74,-19,,
2018-19,2019-03-21,,Old Dominion,,,Purdue,13,L,,48,61,-13,,
2018-19,2019-03-21,,Purdue,13,,Old Dominion,,W,,61,48,13,,
2018-19,2019-03-21,,Baylor,,,Syracuse,,W,,78,69,9,,
2018-19,2019-03-21,,Syracuse,,,Baylor,,L,,69,78,-9,,
2018-19,2019-03-21,,Seton Hall,,,Wofford,19,L,,68,84,-16,,
2018-19,2019-03-21,,Wofford,19,,Seton Hall,,W,,84,68,16,,
2018-19,2019-03-20,,North Carolina Central,,,North Dakota State,,L,,74,78,-4,,
2018-19,2019-03-20,,North Dakota State,,,North Carolina Central,,W,,78,74,4,,
2018-19,2019-03-20,,Arizona State,,,St. John's (NY),,W,,74,65,9,,
2018-19,2019-03-20,,St. John's (NY),,,Arizona State,,L,,65,74,-9,,
2018-19,2019-03-19,,Fairleigh Dickinson,,,Prairie View,,W,,82,76,6,,
2018-19,2019-03-19,,Prairie View,,,Fairleigh Dickinson,,L,,76,82,-6,,
2018-19,2019-03-19,,Belmont,,,Temple,,W,,81,70,11,,
2018-19,2019-03-19,,Temple,,,Belmont,,L,,70,81,-11,,
2017-18,2018-04-02,,Michigan,7,,Villanova,2,L,,62,79,-17,,
2017-18,2018-04-02,,Villanova,2,,Michigan,7,W,,79,62,17,,
2017-18,2018-03-31,,Loyola (IL),,,Michigan,7,L,,57,69,-12,,
2017-18,2018-03-31,,Michigan,7,,Loyola (IL),,W,,69,57,12,,
2017-18,2018-03-31,,Kansas,4,,Villanova,2,L,,79,95,-16,,
2017-18,2018-03-31,,Villanova,2,,Kansas,4,W,,95,79,16,,
2017-18,2018-03-25,,Texas Tech,14,,Villanova,2,L,,59,71,-12,,
2017-18,2018-03-25,,Villanova,2,,Texas Tech,14,W,,71,59,12,,
2017-18,2018-03-25,,Duke,9,,Kansas,4,L,,81,85,-4,,1
2017-18,2018-03-25,,Kansas,4,,Duke,9,W,,85,81,4,,1
2017-18,2018-03-24,,Kansas State,,,Loyola (IL),,L,,62,78,-16,,
2017-18,2018-03-24,,Loyola (IL),,,Kansas State,,W,,78,62,16,,
2017-18,2018-03-24,,Florida State,,,Michigan,7,L,,54,58,-4,,
2017-18,2018-03-24,,Michigan,7,,Florida State,,W,,58,54,4,,
2017-18,2018-03-23,,Clemson,20,,Kansas,4,L,,76,80,-4,,
2017-18,2018-03-23,,Kansas,4,,Clemson,20,W,,80,76,4,,
2017-18,2018-03-23,,Villanova,2,,West Virginia,15,W,,90,78,12,,
2017-18,2018-03-23,,West Virginia,15,,Villanova,2,L,,78,90,-12,,
2017-18,2018-03-23,,Duke,9,,Syracuse,,W,,69,65,4,,
2017-18,2018-03-23,,Syracuse,,,Duke,9,L,,65,69,-4,,
2017-18,2018-03-23,,Purdue,11,,Texas Tech,14,L,,65,78,-13,,
2017-18,2018-03-23,,Texas Tech,14,,Purdue,11,W,,78,65,13,,
