Season,Date,School 1,School 2,Outcome,PTS,OPP,MOV,OT,eFGPct_1,TOPct_1,ORPct_1,FTRate_1,eFGPctD_1,TOPctD_1,ORPctD_1,FTRateD_1,eFGPct_2,TOPct_2,ORPct_2,FTRate_2,eFGPctD_2,TOPctD_2,ORPctD_2,FTRateD_2,AdjTempo_1,AdjOE_1,AdjDE_1,AdjEM_1,seed_1,AdjTempo_2,AdjOE_2,AdjDE_2,AdjEM_2,seed_2
2019,2019-03-22,Utah State,Washington,L,61,78,-17,,53.87931034,18.14305422,31.9614711,36.663286,46.51460789,17.34877304,22.25705329,34.29010764,52.12167689,19.76365957,29.15224913,34.71370143,47.47191011,24.21048297,35.03289474,33.96322778,67.8638,113.115,96.4583,16.6564,8.0,65.9283,107.084,93.7514,13.3325,9.0
2019,2019-03-22,Duke,North Dakota State,W,85,62,23,,53.59801489,17.51473768,35.601719200000005,33.20926385,44.98964803,19.38106219,29.51251647,23.97515528,53.54374308,15.74767518,20.74215033,32.22591362,53.63636364,14.43536892,25.881261600000002,26.49350649,72.2812,120.204,88.2449,31.9593,1.0,64.8533,106.675,109.87299999999999,-3.19748,16.0
2019,2019-03-22,Houston,Georgia State,W,84,55,29,,52.13345438,16.50032196,34.36555891,31.63867453,42.53071253,18.19059884,25.95473833,37.2972973,53.74472574,16.3879331,23.01656495,35.44303797,50.30287733,20.95436238,33.79819524,30.94396769,66.2386,114.646,91.2253,23.4204,3.0,69.7679,108.11,102.806,5.30459,14.0
2019,2019-03-22,Mississippi State,Liberty,L,76,80,-4,,54.591321900000004,19.22103659,34.68667255,32.64379415,50.30975736,19.51936754,29.61373391,32.11151265,55.92178771,17.17048589,25.27918782,26.70391061,48.93063584,20.43661093,26.38376384,32.65895954,67.4913,117.49600000000001,96.8328,20.6633,5.0,61.8485,110.669,99.8723,10.7968,12.0
2019,2019-03-22,Iowa State,Ohio State,L,59,62,-3,,54.7630679,16.25931523,28.27406765,30.04396678,48.40247973,18.76074835,30.10085337,23.60515021,50.28482651,18.73296458,27.586206899999997,33.66131538,48.31518922,18.17822986,25.87646077,31.77812338,67.6737,119.12200000000001,97.2626,21.8596,6.0,65.7436,109.375,94.3414,15.0331,11.0
2019,2019-03-22,North Carolina,Iona,W,88,73,15,,52.86307054,17.20760094,35.320088299999995,30.20746888,48.93238434,18.30362647,22.85513361,28.4252669,53.00474433,17.32622024,25.19893899,36.84765419,52.30084117,18.5577408,30.75657895,28.50074221,74.3542,120.02600000000001,90.8372,29.1883,1.0,70.5899,106.647,109.738,-3.09157,16.0
2019,2019-03-22,Virginia Commonwealth,Central Florida,L,58,73,-15,,50.08012821,19.97993282,30.98106713,35.73717949,43.468715700000004,23.33900449,30.70032573,36.60812294,52.94951787,17.64007718,29.50367647,45.26375496,45.43343653,18.04507895,29.60629921,29.15376677,68.2479,104.427,88.741,15.6858,8.0,64.8462,110.45,95.8589,14.5908,9.0
2019,2019-03-22,Virginia Tech,Saint Louis,W,66,52,14,,55.60526316,17.32756483,29.63311383,31.89473684,49.00323276,21.64843341,27.20070423,26.34698276,46.66179337,19.23566284,35.979606700000005,39.42495127,46.86858316,19.27720854,25.12038523,33.47022587,63.3196,118.551,94.0834,24.4675,4.0,66.2813,102.762,96.5508,6.21093,13.0
2019,2019-03-21,Louisiana State,Yale,W,79,74,5,,51.15633673,17.92222821,36.76355067,37.09528215,49.90407674,20.09821618,30.75722092,33.14148681,55.55555556,17.79828223,26.26158599,30.14245014,47.26177437,15.17537748,24.64912281,31.10624315,69.9424,118.62,97.6208,20.9994,3.0,70.811,110.552,102.279,8.27244,14.0
2019,2019-03-21,Louisville,Minnesota,L,76,86,-10,,50.88967972,17.43094948,29.19463087,34.92628368,46.76133533,16.07379526,25.91725215,32.03786746,48.18538499,17.11618787,31.355932199999998,41.58901422,49.52539155,16.87108733,28.43601896,28.19174181,67.195,113.50299999999999,92.4983,21.0045,7.0,67.5056,110.803,96.3335,14.4692,10.0
2019,2019-03-21,Auburn,New Mexico State,W,78,77,1,,54.38745231,16.82116879,31.59399571,30.86053412,51.72496406,24.62175476,32.86494926,36.32007667,54.08110883,17.81756986,36.85612789,34.54825462,48.90449438,18.92839092,21.95121951,32.58426966,67.5646,119.28299999999999,97.1706,22.112,5.0,65.6538,112.73299999999999,99.1319,13.6009,12.0
2019,2019-03-21,Florida State,Vermont,W,76,69,7,,50.48364809,18.9353667,32.84161491,35.83602027,47.24238026,20.32088134,26.998491700000002,35.65553943,52.57332595,16.83026246,27.25581395,35.91588268,48.70422535,19.1169829,22.18148488,27.49295775,68.3149,113.105,90.5492,22.5555,4.0,65.3836,108.137,99.4159,8.72155,13.0
2019,2019-03-21,Michigan State,Bradley,W,76,65,11,,55.17937220000001,18.50105781,33.89694042,33.58744395,43.94449117,14.93594525,26.36594663,27.50210261,49.72390944,18.80752301,26.66076174,36.27829928,47.60609358,18.40736295,26.70111972,35.63656148,67.6316,121.681,90.5738,31.1072,2.0,65.1302,101.015,101.375,-0.359772,15.0
2019,2019-03-21,Maryland,Belmont,W,79,77,2,,51.41435306,19.31715834,34.11131059,32.84442116,45.93516209,14.05687953,24.842767300000002,26.63341646,57.61083744,15.20426809,25.27075812,28.472906400000003,48.708577000000005,16.04196881,24.96038035,27.43664717,65.6956,113.946,93.96600000000001,19.9801,6.0,71.1915,114.95200000000001,101.88600000000001,13.0657,11.0
2019,2019-03-21,Kansas,Northeastern,W,87,53,34,,52.58458647,18.81601309,30.05595524,32.47180451,47.8191731,18.15375176,27.88184438,27.80554294,56.49350649,16.61307026,22.65402844,34.30735931,52.09735888,16.70027797,24.61677187,27.75763853,69.9998,112.885,92.1354,20.7494,4.0,66.0919,111.619,102.86399999999999,8.75462,13.0
2019,2019-03-21,Marquette,Murray State,L,64,83,-19,,53.45352971,19.34922783,29.39632546,35.14474352,46.31188119,16.59093365,26.1302682,35.89108911,54.81026189,17.22252752,32.03791469,33.51149118,46.51898734,19.3073598,30.65998329,27.42616034,68.6533,114.27,95.8589,18.4109,5.0,69.0814,112.132,98.84700000000001,13.2854,12.0
